,Position,Company Name,YOE,CTC,location
16,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
17,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
19,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data Scientist II - Core Analytics & Science,Uber,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science Manager,Accenture,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science Internship,Numadic,0-1 Yrs,Not disclosed,goa
3,Lead Data Science Engineer - Python/Neural Networks,Huquo Consulting Pvt. Ltd,4-9 Yrs,Not disclosed,Gurgaon/Gurugram
4,Lead Data Science Engineer - NLP/Algorithm,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
5,Equity Data Science,Equity Data Science,3-8 Yrs,Not disclosed,Mumbai
6,"MNC Hiring For "" Director- Data Science "" - Gurgaon",ESS CEE HR SOLUTIONS,7-12 Yrs,"16,00,000 - 25,00,000 PA.",Gurgaon/Gurugram
7,Lead / Team Lead - Data Science - R/ Python/ Hive/ Spark,Info Corporate Service,4-8 Yrs,Not disclosed,Mumbai
8,Associate Vice President - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR"
9,Hiring Head (data Science ) With a Leading Bank,SKILLVENTORY,15-25 Yrs,Not disclosed,Gurgaon/Gurugram
10,Manager - Data Science (Lifesciences),Spectral Consultants,4-6 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram"
11,Lead - Data Science - Qliksense (4 - 6 years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,4-6 Yrs,Not disclosed,"Mumbai, Pune(WFH during Covid)"
12,Lead- Data Science,Think360.ai,5-8 Yrs,Not disclosed,Mumbai
13,Data Science Intern,Relinns,0-1 Yrs,Not disclosed,Mohali
14,Data Science Intern,newAmps consulting pvt. ltd.,0-1 Yrs,Not disclosed,Kolkata
15,Data Science - Intern,Mindworksglobal,0-0 Yrs,Not disclosed,Noida
16,Data Science Intern,newAmps consulting pvt. ltd.,0-3 Yrs,Not disclosed,Kolkata
17,Data Science Intern,Sankhkyiki Robotics,0-1 Yrs,Not disclosed,Mumbai
18,Content Strategist - Intern(Data Science),Testbook Edu Solutions,0-1 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
19,Data Science / Machine Learning stream project intern,Vikatan,0-1 Yrs,Not disclosed,Chennai
0,Kantar - SQL+ Data Science +Power BI Consultant/Senior Consultant,TNS - Subsidary of Kantar Group,1-6 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
1,"Senior Data Scientist, Data Sciences",Vmware,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
2,Software Developer - NLP /machine Learning/ Data Science,Cunesoft,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
3,Director/ Senior Director - Data Science at Kantar,TNS - Subsidary of Kantar Group,5-10 Yrs,Not disclosed,Chennai(WFH during Covid)
4,Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
5,Software Developer - NLP/Data Science/Machine Learning,Cunesoft India Private Limited (a Phlexglobal Company),3-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
7,Senior Analyst - Data Science - IIT/ NIT/ IIM/ XLRI/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
8,Principal Consultant / Consulting Partner - Data Science - AI,Wipro,10-18 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
9,Data Science Engineer (MS Azure),Quality Engineering  Software Technologies Pvt. Ltd.,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
10,Data Science Engineer,"Rakuten, Inc.",2-5 Yrs,Not disclosed,Bangalore/Bengaluru
11,Fresher - Data Science Engineer,Busigence Technologies,0-2 Yrs,Not disclosed,remote
12,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
13,Lead - IT Data Science Analyst,Momentive Performance Materials Inc.,4-8 Yrs,Not disclosed,Bangalore/Bengaluru
14,Business Analyst II- Data Sciences and Advanced Analytics,Vmware,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
15,Senior Software Engineer - Data Science,Ignitee Digital Solutions Pvt Ltd,4-6 Yrs,Not disclosed,Noida
16,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
17,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
18,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
0,Senior Analyst ? Data Science and Artificial Intelligence,Samatrix Consulting Private Limited,6-11 Yrs,Not disclosed,Gurgaon
1,Data Science Manager,Poshmark,2-4 Yrs,Not disclosed,Pune
2,"Lead , Data Science",Near Pte. Ltd.,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
3,Lead - Data Science - MNC Opportunity - Bangalore,McOxley,6-7 Yrs,"25,00,000 - 30,00,000 PA.",Bangalore/Bengaluru
4,SCM - DATA SCIENCE,BRIDGEi2i Analytics Solutions Private Limited,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
5,Team Lead - Data Science,ShieldSquare _x001A_,6-11 Yrs,Not disclosed,Bangalore/Bengaluru
6,PROJECT MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
7,PHD/Graduate in Computer/Data Science,DCG Data-Core Systems (India) Pvt. Ltd.,0-0 Yrs,Not disclosed,Kolkata
8,Data Science Trainee,Harmony Data Integration Technologies,0-1 Yrs,Not disclosed,Mohali
9,Data Science,NEEMTREE INTERNET PVT LTD,2-5 Yrs,Not disclosed,Mumbai
10,Looking For Part Time Data Science Teacher Trainer with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Navi Mumbai, Gurgaon/Gurugram, Mumbai (All Areas)"
11,Freelance Teaching Assistant - Data Science,Testbook Edu Solutions,0-3 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
12,MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
13,Junior Data Science Team Member,Imurgence,0-2 Yrs,Not disclosed,Remote
14,Data Science Associate,WRS Info India Pvt. Ltd.,0-9 Yrs,Not disclosed,"Noida, Lucknow"
15,Manager - Data Science - Analytics,TATA CAPITAL LTD,0-2 Yrs,Not disclosed,Mumbai
16,Data Science Integration Engineer,MVG HR Solutions Pvt Ltd,4-9 Yrs,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR(WFH during Covid)"
17,Sr . PS Consultant - Data Science,Genesys India,6-11 Yrs,Not disclosed,Chennai
18,"Senior Software Engineer - Data Science, NLP/ML (Python)",Info Edge India,2-4 Yrs,Not disclosed,Noida
19,Senior Developer - Data Science/ BI,Radial HR Solutions,7-12 Yrs,"10,00,000 - 20,00,000 PA.","Noida, Bangalore/Bengaluru"
0,Data Science - Lead Data Scientist,Paytm,3-5 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
1,Sr. Data Science Developer,Microsoft,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
2,"Manager, Data Science 3",PayPal,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
3,Data Science,Sitel,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)(WFH during Covid)"
4,Data Science Engineer - IIT/NIT/BITS,TalentStack,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
5,Lead Data Science Analyst - Python/Spark,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram
6,Lead Data Science Analyst - Python/ Spark,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram
7,"MNC Hiring For "" AI/ ML Sr. consultant- Cloud +data science ""- Gurgaon",ESS CEE HR SOLUTIONS,10-17 Yrs,"20,00,000 - 35,00,000 PA.",Gurgaon/Gurugram
8,Consultant/ Sr. Consultant Data Science,Living Stones,5-10 Yrs,"18,00,000 - 25,00,000 PA.",Mumbai (All Areas)(Airoli)
9,Data Science - Senior Data Scientist,Paytm,2-4 Yrs,Not disclosed,New Delhi
10,Virtual Interviews For Data Science Developers On 22nd Jan @ GD-Hyd,GlobalData,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur)(WFH during Covid)
11,Looking For Data Science Internship/Entry Level/Fresher -Bangalore.,PROMANTUS INDIA PRIVATE LIMITED,0-0 Yrs,Not disclosed,Bangalore/Bengaluru(Electronic City)
12,Manager - Data Science,General Mills,8-12 Yrs,Not disclosed,Mumbai
13,Eclerx is Hiring For Data science-Mumbai & Pune,eClerx,3-8 Yrs,"5,00,000 - 13,00,000 PA.","Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)(WFH during Covid)"
14,Data Science Professional,IBM,5-10 Yrs,Not disclosed,Ahmedabad
15,Data Science Professional,IBM,5-7 Yrs,Not disclosed,Ahmedabad
16,Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
17,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,New Delhi
18,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Mumbai
19,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Mumbai
0,"Python Developer, Django, Data Science, Machine Learning freshers only",Excel PTP - IT Training Provider Company India,0-5 Yrs,Not disclosed,Ahmedabad
1,Senior Engineer - Data sciences - Bangalore based Start up Company,ConsultTrinity Services Private Limited,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
2,Sr. Data Science Engineer,Kyndryl,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR"
3,"Senior Software Engineer , Data Science",jupiter,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
4,Sr . Software Engineer ( Data Science ),Unravel,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
5,Senior Engineer - RIQ Data Science,Reltio,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
6,Data Science Tech Manager,Xoriant,5-10 Yrs,Not disclosed,Pune
7,Data Science Lead,Continuum Global,4-6 Yrs,Not disclosed,Gurgaon/Gurugram
8,Data Science Quality Assurance,NICE,3-8 Yrs,Not disclosed,Pune
9,"Manager, Business Intelligence & Data Science",iSOCRATES,5-10 Yrs,Not disclosed,Mysore/Mysuru
10,Jr Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Mohali
11,AI (Data Science) Architect,Quality Engineering  Software Technologies Pvt. Ltd.,10-15 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram
12,Data Science Manager,Infosenseglobal,8-13 Yrs,Not disclosed,"Gandhinagar, Pune"
13,Data Science,Shifastar Technologies Pvt. Ltd.,10-12 Yrs,Not disclosed,Mumbai
14,Data Science Expert,3D PLM Software Solutions Ltd.,2-4 Yrs,Not disclosed,Pune
15,Data Science,Diverse Lynx,2-6 Yrs,Not disclosed,Gurgaon
16,"Data Science/AI/ML Engineer For Risor Infotech, Panchkula, Haryana",Talent  Corner HR Services Pvt Ltd,3-8 Yrs,"45,00,000 - 60,00,000 PA.","Chandigarh, Panchkula"
17,Data Science Engineer - Deep Learning/Neural Networks,Carbynetech India,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad
18,Project Manager - Equity Data Science,Equity Data Science,3-8 Yrs,Not disclosed,Mumbai
19,Sr.Product Owner - Data Science & Analytics,Target,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
0,Senior Presales Consultant - AI & Data Sciences,WILLSPIRED SOLUTIONS PRIVATE LIMITED,10-14 Yrs,Not disclosed,Bangalore/Bengaluru
1,Senior Manager - Data Science,Smart Cube,8-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR"
2,SENIOR ANALYTICS CONSULTANT - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
3,Senior Business Executive - Data Science,dentsu international,1-3 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
5,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Senior Consultant - Data Science,SAS Institute,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data science developer,Peopleplus Professional Services Pvt. Ltd.,5-7 Yrs,Not disclosed,Bangalore/Bengaluru
8,Senior Consultant - Data Science,SAS Research and  Developement (India) Pvt Ltd,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
9,Data Science Application Lead,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru
10,Senior Manager II Data Science- Search,Walmart,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
11,Natural Language Processing (NLP) Data Science Practitioner (MNC),Krazy Mantra HR Solutions Pvt. Ltd,12-22 Yrs,"12,00,000 - 22,00,000 PA.",Mumbai
12,Lead- Data Science,Think360.ai,5-8 Yrs,Not disclosed,Mumbai
13,Digital Scientist - Data Science,ACIESIND PRIVATE LIMITED,2-7 Yrs,"6,00,000 - 15,00,000 PA.",Remote
14,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Pune
15,Data Science Specialist,Veersa Technologies,3-6 Yrs,Not disclosed,Noida
16,Data Science Instructor,DataIsGood,2-6 Yrs,Not disclosed,Remote
17,Technical Manager - Data Science,Veersa Technologies,12-18 Yrs,Not disclosed,Noida
18,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Chennai
19,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Mumbai
0,Data Science Intern,DataTrained,0-2 Yrs,Not disclosed,"Noida, Bengaluru"
1,Data Science professional - Contract To Hire,Successr HR Tech PVT LTD,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
2,Data Science,Recruise India Consulting Pvt. Ltd.,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
3,Data Science Consultant - Java/SQL/Python,Altimax Business Solutions,4-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
4,Machine Learning Engineer (Data Science),Walmart,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
5,Data Engineer - Data Science Engineering,WAKEFIT INNOVATIONS PRIVATE LIMITED,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
6,Principal Engineer - Data Science,Western Digital,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data Science (ETO - Engineering),Global Talent Pool,3-5 Yrs,Not disclosed,"Mumbai, Bengaluru"
8,Lead Product Engineer - Data Science,AskSid Technology Solutions Pvt. Ltd,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
9,Data Science Engineer,Bloom Consulting Services,2-5 Yrs,Not disclosed,Bengaluru
10,Tech Lead - Data Science Engineer,Myntra,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
11,Data Science Engineer,Falcon Smart IT,4-10 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Engineer,AXA Business Services Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru
13,Data Science Engineer,Ness,5-7 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science Quality Assessment Engineer,DAZN,3-6 Yrs,Not disclosed,Bengaluru
15,Team Lead Data Science Engineer,Sabre,7-12 Yrs,Not disclosed,Bangalore/Bengaluru
16,Looking For Data Science -- Manager / Senior Manager,Mount Talent Consulting Private Limited,9-12 Yrs,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)"
17,Looking For Data Science -- Manager / Senior Manager,Mount Talent Consulting Private Limited,9-12 Yrs,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)"
18,Senior Associate Director - Data Science- Insurance - IIT/IIM/NIT/XLRI,Huquo Consulting Pvt. Ltd,9-14 Yrs,Not disclosed,Gurgaon/Gurugram
19,Senior Associate Director - Data Science - Insurance - IIT/IIM,Huquo Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,Gurgaon/Gurugram
0,Sr VP - Analytics - Data Science Team - Insurance -  IIT/IIM/XLRI/NIT,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,Gurgaon/Gurugram
1,Senior Software Engineer - Data Science Infrastructure,bluecore,2-6 Yrs,Not disclosed,Remote
2,Sr. Consultant – Data Engineering & Data Science,Acrotrend,6-8 Yrs,Not disclosed,Remote
3,Senior Software Engineer  -  Data Science and Machine Learning,VSH Solutions,2-5 Yrs,Not disclosed,Pune
4,Senior Engineer - AI (Data Science Focus),T2 Innovations,4-6 Yrs,Not disclosed,Chennai
5,Require Data Science Lead - Bengaluru/Kolkatta,Gaurik Consulting Company,8-12 Yrs,Not disclosed,"Kolkata, Bangalore/Bengaluru"
6,Machine Learning Data Science Practitioner (MNC),Krazy Mantra HR Solutions Pvt. Ltd,12-22 Yrs,"12,00,000 - 22,00,000 PA.",Bangalore/Bengaluru
7,Natural Language Processing (DATA Science Practitioner) (Bang/Che),Krazy Mantra HR Solutions Pvt. Ltd,12-18 Yrs,"18,00,000 - 20,00,000 PA.","Mumbai, Chennai, Bangalore/Bengaluru"
8,Machine Learning Data Science Practitioner (Opening in MNC)(Bengaluru),Krazy Mantra HR Solutions Pvt. Ltd,16-21 Yrs,"27,50,000 - 30,00,000 PA.",Bangalore/Bengaluru
9,Machine Learning Data Science Practitioner (Opening in MNC)(Bengaluru),Krazy Mantra HR Solutions Pvt. Ltd,12-17 Yrs,"20,00,000 - 22,50,000 PA.",Bangalore/Bengaluru
10,Data Science Manager,Poshmark,7-12 Yrs,Not disclosed,Chennai
11,Opening in Data Science Role,D-Cube Analytics Private Limited,2-7 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru"
12,Scientific Manager - Data Science,Perfect Day,5-12 Yrs,Not disclosed,Bangalore/Bengaluru
13,Data Science Manager,Twilio,10-15 Yrs,Not disclosed,Bangalore/Bengaluru
14,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,2-7 Yrs,Not disclosed,Bangalore/Bengaluru
15,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-7 Yrs,Not disclosed,Bangalore/Bengaluru
16,Data Science Practice Manager,Suyati Technologies Pvt Ltd,12-17 Yrs,Not disclosed,"Kochi, Bengaluru"
17,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
18,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
19,Data Science,Gadgeon Smart Systems Pvt Limited,5-10 Yrs,Not disclosed,"Kochi/Cochin, Bangalore/Bengaluru"
0,Team Lead/ Consultant- Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science Leader,CRED,6-11 Yrs,Not disclosed,Bangalore/Bengaluru
2,Team Lead - Machine Learning & Data Science,HackerEarth,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
3,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
4,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
5,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
6,ACN - Applied Intelligence - Solutions.AI - Data Science - 06,Accenture,12-14 Yrs,Not disclosed,Bangalore/Bengaluru
7,Vice President - Data Science,Paytm,18-23 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru"
8,Data Science Consultant,Blue Yonder,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
9,Delivery Data Science,Microsoft,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
10,Manager - Data Science (Lifesciences),Spectral Consultants,10-15 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
11,Opening For Full time Data Science Faculty role,The Times Group,5-10 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)"
12,Data Science Lead,Sony,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
13,Data Science Lead,Sony Corporation of America,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
14,Oportun is hiring For Data Science Manager-Remote,Oportun,8-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru"
15,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
16,Backend SDE II ( Data Science ),Sharechat,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science Business and Integration Practitioner,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,"Recruitment Specialist,  IT & Data Science or Quantitative Analytics",Solytics Partners Private Limited,2-7 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"
0,Associate Data Science Consultant,AXA Business Services Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru
1,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science Data Science Practitioner,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru
3,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
4,ACN - Applied Intelligence - Solutions.AI - Data Science - 06,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
5,"Manager, Data Science",Epsilon,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
6,MSSQL Data Science & R Analytics Programmer,Optidesk Solutions Private Limited,2-6 Yrs,Not disclosed,Bengaluru
7,Manager - Data Sciences,Walmart,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
8,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
9,Asst Manager - Data Science,CitiusTech,2-6 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
10,Data Science Trainer,NEEMTREE INTERNET PVT LTD,2-6 Yrs,Not disclosed,Gurgaon/Gurugram
11,Member Technical Staff(Data science),Vymo,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Consultant,Blue Yonder,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
13,Principal Consultant - Data Science,D Cube Analytics,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
14,Lead - Data Science,ACT Fibernet,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
15,Data Science Lead,D Cube Analytics,10-12 Yrs,Not disclosed,Bengaluru
16,Data Science Trainer,Epsilon consultant,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
17,Analytics & Data Science,KPRO Solutions,9-14 Yrs,Not disclosed,Bengaluru
18,Machine Learning and Data Science Specialist,Nokia,8-13 Yrs,Not disclosed,Bangalore/Bengaluru
19,Product Lead - Data Science,Paytm,2-8 Yrs,Not disclosed,Bangalore/Bengaluru
